Website,College,Ad Trackers,Third party cookies
ambrose.edu,Ambrose College,6,4
betheluniversity.edu,Bethel University,2,3
calbaptist.edu,California Baptist University,10,18
calvin.edu,Calvin University,9,7
dbu.edu,Dallas Baptist University,6,6
ec.edu,Emmanuel College,17,33
franciscan.edu,Franciscan University of Steubenville,4,4
geneva.edu,Geneva College,8,10
hbu.edu,Houston Baptist University,23,38
indwes.edu,Indiana Wesleyan University,10,13
judsonu.edu,Judson University,12,19
kcu.edu,Kentucky Christian University,11,18
lcu.edu,Lubbock Christian University,3,2
mc.edu,Mississippi College,6,10
mnu.edu,MidAmerica Nazarene University,11,29
nyack.edu,Nyack College,5,1
oc.edu,Oklahoma Christian University,10,14
pepperdine.edu,Pepperdine College,6,6
roberts.edu,Roberts University,16,19
sagu.edu,Southwest Assemblies of God University,4,1
tiu.edu,Trinity International University,4,1
umobile.edu,University of Mobile,4,2
vanguard.edu,Vanguard University,6,20
warner.edu,Warner University,10,16
wlc.edu,Wisconsin Lutheran College,15,33
