Website,College,Ad Trackers,Third party cookies
alcorn.edu,Alcorn State University,6,5
bluefieldstate.edu/,Bluefield State College,10,23
carver.edu,Carver College,2,3
coppin.edu,Coppin State University,2,0
desu.edu,Delaware State University,3,1
ewc.edu,Edward Waters College,2,1
famu.edu,Fisk University,6,5
gram.edu,Grambling State University,2,3
howard.edu,Howard,0,2
itc.edu,Interdenominational Theological College,3,0
jcsu.edu,Johnson C Smith University,3,0
kysu.edu,Kentucky State University,2,3
lanecollege.edu,Lane,3,0
morehouse.edu,Morehouse,2,0
nsu.edu,Norfolk State University,4,2
oakwood.edu/,Oakwood University,4,3
philander.edu,Philander Smith College,2,1
rustcollege.edu,Rust College,1,3
spelman.edu,Spelman College,9,18
suno.edu/,Southern University at New Orleans,7,19
tuskegee.edu,Tuskegee University,11,21
uvi.edu,University of the Virgin Islands,1,9
vuu.edu,Virginia Union University,9,19
wilberforce.edu,Wilberforce University,2,1
www.xula.edu,Xavier University of Louisiana,8,8
